upstream bus,downstream bus,series resistance (pu),series reactance (pu),shunt capacitance (pu)
1,2,0.002545703370147,0.002580751799032,2.59216092121212E-06
1,3,0.003636719100211,0.003686788284332,3.70308703030303E-06
1,7,0.001502403846154,0.003539316752959,5.58154763636364E-06
3,4,0.002909375280169,0.002949430627465,2.96246962424242E-06
3,5,0.004727734830274,0.004792824769631,4.81401313939394E-06
5,6,0.003636719100211,0.003686788284332,3.70308703030303E-06
7,8,0.001001602564103,0.002359544501972,3.72103175757576E-06
8,12,0.00327304719019,0.003318109455899,3.33277832727273E-06
8,9,0.00327304719019,0.003318109455899,3.33277832727273E-06
8,13,0.001502403846154,0.003539316752959,5.58154763636364E-06
9,14,0.006182422470358,0.006267540083364,6.29524795151515E-06
13,34,0.002182031460126,0.002212072970599,2.22185221818182E-06
13,18,0.004212870400333,0.009464060766457,1.61723536E-05
14,11,0.003636719100211,0.003686788284332,3.70308703030303E-06
14,10,0.003636719100211,0.003686788284332,3.70308703030303E-06
15,16,0.005455078650316,0.005530182426498,5.55463054545455E-06
15,17,0.005091406740295,0.005161503598065,5.18432184242424E-06
18,19,0.003636719100211,0.003686788284332,3.70308703030303E-06
18,21,0.001531952872848,0.003441476642348,5.88085585454545E-06
19,20,0.004727734830274,0.004792824769631,4.81401313939394E-06
21,22,0.007637110110442,0.007742255397097,7.77648276363636E-06
21,23,0.00127662739404,0.002867897201957,4.90071321212121E-06
23,24,0.008000782020464,0.00811093422553,8.14679146666667E-06
23,25,0.001404290133444,0.003154686922152,5.39078453333333E-06
25,26,0.001752804487179,0.004129202878452,5.86813886060606E-06
25,28,0.001021301915232,0.002294317761565,3.92057056969697E-06
26,27,0.001377203525641,0.003244373690212,4.61068053333333E-06
26,31,0.00327304719019,0.003318109455899,3.33277832727273E-06
27,33,0.007273438200421,0.007373576568664,7.40617406060606E-06
28,29,0.001531952872848,0.003441476642348,5.88085585454545E-06
29,30,0.001787278351656,0.004015056082739,6.8609984969697E-06
31,32,0.004364062920253,0.004424145941198,4.44370443636364E-06
34,15,0.001454687640084,0.001474715313733,1.48123481212121E-06
35,36,0.003255208333333,0.00766851963141,1.0897972169697E-05
35,40,0.001252003205128,0.002949430627465,4.6512896969697E-06
36,37,0.004364062920253,0.004424145941198,4.44370443636364E-06
36,38,0.003636719100211,0.003686788284332,3.70308703030303E-06
38,39,0.004727734830274,0.004792824769631,4.81401313939394E-06
40,41,0.004727734830274,0.004792824769631,4.81401313939394E-06
40,42,0.001252003205128,0.002949430627465,4.6512896969697E-06
42,43,0.007273438200421,0.007373576568664,7.40617406060606E-06
42,44,0.001001602564103,0.002359544501972,3.72103175757576E-06
44,45,0.002909375280169,0.002949430627465,2.96246962424242E-06
44,47,0.001252003205128,0.002949430627465,4.6512896969697E-06
45,46,0.004364062920253,0.004424145941198,4.44370443636364E-06
47,48,0.000757604212194,0.001748481574015,2.65341061818182E-06
47,49,0.00126267368699,0.002914135956692,4.42235103030303E-06
49,50,0.00126267368699,0.002914135956692,4.42235103030303E-06
50,51,0.00126267368699,0.002914135956692,4.42235103030303E-06
52,53,0.001001602564103,0.002359544501972,3.72103175757576E-06
53,54,0.000626001602564,0.001474715313733,2.32564484848485E-06
54,55,0.001377203525641,0.003244373690212,5.11641866666667E-06
54,57,0.001767743161786,0.004079790339368,6.19129144242424E-06
55,56,0.001377203525641,0.003244373690212,5.11641866666667E-06
57,58,0.003636719100211,0.003686788284332,3.70308703030303E-06
57,60,0.00378802106097,0.008742407870075,1.32670530909091E-05
58,59,0.003636719100211,0.003686788284332,3.70308703030303E-06
60,62,0.004161214324037,0.00205776138675,5.5083102060606E-05
62,63,0.002912850026826,0.001440432970725,3.85581714424242E-05
63,64,0.005825700053652,0.00288086594145,7.71163428848485E-05
64,65,0.007074064350863,0.003498194357475,9.36412735030303E-05
65,66,0.005409578621249,0.002675089802775,7.16080326787879E-05
67,68,0.002909375280169,0.002949430627465,2.96246962424242E-06
67,72,0.001388941055689,0.003205549552361,4.86458613333333E-06
67,97,0.00126267368699,0.002914135956692,4.42235103030303E-06
68,69,0.004000391010232,0.004055467112765,4.07339573333333E-06
69,70,0.004727734830274,0.004792824769631,4.81401313939394E-06
70,71,0.004000391010232,0.004055467112765,4.07339573333333E-06
72,73,0.004000391010232,0.004055467112765,4.07339573333333E-06
72,76,0.001010138949592,0.002331308765353,3.53788082424242E-06
73,74,0.005091406740295,0.005161503598065,5.18432184242424E-06
74,75,0.005818750560337,0.005898861254931,5.92493924848485E-06
76,77,0.002003205128205,0.004719089003945,7.44206351515151E-06
76,86,0.003535486323572,0.008159580678736,1.23825828848485E-05
77,78,0.000500801282051,0.001179772250986,1.86051587878788E-06
78,79,0.001126802884615,0.002654487564719,4.18616072727273E-06
78,80,0.002378806089744,0.005603918192184,8.83745042424242E-06
80,81,0.002378806089744,0.005603918192184,8.83745042424242E-06
81,82,0.001252003205128,0.002949430627465,4.6512896969697E-06
81,84,0.009819141570569,0.009954328367696,9.99833498181818E-06
82,83,0.001252003205128,0.002949430627465,4.6512896969697E-06
84,85,0.0069097662904,0.007004897740231,7.03586535757576E-06
86,87,0.002253605769231,0.005308975129438,8.37232145454545E-06
87,88,0.002545703370147,0.002580751799032,2.59216092121212E-06
87,89,0.001377203525641,0.003244373690212,5.11641866666667E-06
89,90,0.00327304719019,0.003318109455899,3.33277832727273E-06
89,91,0.001126802884615,0.002654487564719,4.18616072727273E-06
91,92,0.004364062920253,0.004424145941198,4.44370443636364E-06
91,93,0.001126802884615,0.002654487564719,4.18616072727273E-06
93,94,0.004000391010232,0.004055467112765,4.07339573333333E-06
93,95,0.001502403846154,0.003539316752959,5.58154763636364E-06
95,96,0.002909375280169,0.002949430627465,2.96246962424242E-06
97,98,0.001388941055689,0.003205549552361,4.86458613333333E-06
98,99,0.002777882111378,0.006411099104721,9.72917226666667E-06
99,100,0.001515208424388,0.00349696314803,5.30682123636364E-06
101,102,0.00327304719019,0.003318109455899,3.33277832727273E-06
101,105,0.001388941055689,0.003205549552361,4.86458613333333E-06
102,103,0.004727734830274,0.004792824769631,4.81401313939394E-06
103,104,0.01018281348059,0.010323007196129,1.03686436848485E-05
105,106,0.00327304719019,0.003318109455899,3.33277832727273E-06
105,108,0.001641475793087,0.003788376743699,5.74905633939394E-06
106,107,0.008364453930485,0.008479613053963,8.51710016969697E-06
108,109,0.006546094380379,0.006636218911797,6.66555665454546E-06
109,110,0.004364062920253,0.004424145941198,4.44370443636364E-06
110,111,0.008364453930485,0.008479613053963,8.51710016969697E-06
110,112,0.001818359550105,0.001843394142166,1.85154351515152E-06
112,113,0.007637110110442,0.007742255397097,7.77648276363636E-06
113,61,0.004727734830274,0.004792824769631,4.81401313939394E-06
18,35,0.001894010530485,0.004371203935037,6.63352654545455E-06
114,1,0.002003205128205,0.004719089003945,7.44206351515151E-06
13,52,0.002003205128205,0.004719089003945,7.44206351515151E-06
60,67,0.001752804487179,0.004129202878452,6.51180557575758E-06
97,101,0.00126267368699,0.002914135956692,4.42235103030303E-06
